User_1,User_2,Similarity
122,1,0.936585811581694
122,2,0.6725927091345493
122,3,0.6999132392733556
122,4,0.7059781184061314
122,5,0.6868295951599089
122,6,0.6907676026234589
122,7,0.6743417843388196
122,8,0.6668859288553503
122,9,0.6586665418701959
122,10,0.65033247714309
122,11,0.6422302707988758
122,12,0.6143922080988025
122,13,0.6273135318215906
122,14,0.5835530577839672
122,15,0.5598847219958896
122,16,0.5554705497321591
122,17,0.5515561110226581
122,18,0.5480614263846096
122,19,0.5727039250653149
122,20,0.5561984584176757
122,21,0.5530612982503607
122,22,0.5619988830176664
122,23,0.5589897006223069
122,24,0.5330542051698347
122,25,0.5536302227472439
122,26,0.5512341949117621
122,27,0.5388931722893805
122,28,0.5469171673199882
122,29,0.5251970378590193
122,30,0.523934102377417
122,31,0.9192547197409878
122,32,0.8655784229010971
122,33,0.8133415647238502
122,34,0.7738413334506791
122,35,0.7726438749546088
122,36,0.7879326169208467
122,37,0.7616374026928943
122,38,0.7401494212777379
122,39,0.7263735618322139
122,40,0.714139986300053
122,41,0.7020021492444734
122,42,0.690674110638863
122,43,0.6613558465853374
122,44,0.6705152073404852
122,45,0.6270212403665388
122,46,0.6024752331287779
122,47,0.5960395606792698
122,48,0.5902747259705949
122,49,0.5995886004601323
122,50,0.6066619659415751
122,51,0.5894890690759881
122,52,0.5850805181048254
122,53,0.5810307954482599
122,54,0.5772982345566339
122,55,0.5738473141887683
122,56,0.5594704528144944
122,57,0.5568562780323598
122,58,0.574617754935513
122,59,0.5717635835413708
122,60,0.5690870174544278
122,61,0.9538209664765319
122,62,0.9836118442057922
122,63,0.936585811581694
122,64,0.8867155358917449
122,65,0.8717797887081347
122,66,0.8609460320922785
122,67,0.8297457150451856
122,68,0.8029550685469662
122,69,0.786615727060867
122,70,0.7707588001729143
122,71,0.7557364098827123
122,72,0.7416995842058411
122,73,0.6974298018536286
122,74,0.7166697709829348
122,75,0.6868295951599089
122,76,0.6626845788951624
122,77,0.6379424768479856
122,78,0.6450837640391313
122,79,0.6499548658125345
122,80,0.6306091488076899
122,81,0.624301139532599
122,82,0.6057910037722898
122,83,0.6242478395233898
122,84,0.6190103744689256
122,85,0.614149281741473
122,86,0.5994739628703644
122,87,0.6054078843263982
122,88,0.5918562875835784
122,89,0.5783313845041012
122,90,0.5943056237379929
122,91,0.9226129063148778
122,92,0.9639603730060448
122,93,0.8947213620951908
122,94,0.936585811581694
122,95,0.9431191251430152
122,96,0.910465468000326
122,97,0.872081599272381
122,98,0.8548842422627598
122,99,0.8371497310106165
122,100,0.8189346173511124
122,101,0.8029550685469662
122,102,0.7825855808712295
122,103,0.725573753806455
122,104,0.7520363245386951
122,105,0.7151123036798687
122,106,0.7161215804593697
122,107,0.676971442290833
122,108,0.6822186428277865
122,109,0.6853187936448447
122,110,0.6514094080047177
122,111,0.6573202195200137
122,112,0.637781637032104
122,113,0.6438800632157591
122,114,0.648480679375184
122,115,0.632358759707804
122,116,0.6372099255550857
122,117,0.6117528660089208
122,118,0.6178797082418476
122,119,0.6136625278993403
122,120,0.6097041335227953
122,121,0.9477582044145477
122,122,0.9736842105263159
